Station;Auto (gratis parking);Auto (betalende parking);Auto (totale parking);Auto (bezetting parking) ;Fiets (gratis parking);Fiets (betalende parking);Fiets (totale parking);Fiets (bezetting parking);BTM (frequentie);BTM (route);Trein (frequentie dinsd.);Trein (frequentie zat.) ;Trein (frequentie off-peak);Trein (amplitude);Reistijdcentraliteit;Overstapcentraliteit;Dichtheid (inwoners);Dichtheid (jobs);Dichtheid (basisvoorz.);Dichtheid (regionale voorz.);Dichtheid (metropolitane voorz.);Diversiteit (funct.);Diversiteit (ruimt.);Design (interface);Design (permeabiliteit);Design (fietswandel infrastr.)
Evere;10;0;10;NA;0;0;0;NA;1029;4;148;28;10;0,6;9,3;6,1;38878;15547;284;255;213;8,3;NA;1265;1012;5154
Evergem;59;0;59;34;42;0;42;90;316;10;38;29;2;0,5;6,9;1,4;2962;1572;171;130;120;5,8;76,8;371;309;2781
Ezemaal;68;0;68;54;32;0;32;25,6;56;2;43;33;2;0,7;7,5;6,6;254;15;18;14;2;0,0;50,8;42;31;495
Galmaarden;108;0;108;88;104;0;104;55;40;2;49;28;2;0,6;6,9;4,8;1462;154;82;41;4;2,3;59,3;103;83;1190
Gavere-Asper;74;0;74;51;105;0;105;104;34;2;45;30;2;0,5;7,3;2,0;3016;673;127;74;10;4,8;70,2;293;235;2349
Geel;285;43;328;262;654;0;654;523,2;383;16;72;36;4;0,6;5,0;4,7;8447;3777;217;196;167;6,0;72,2;532;382;5098
Genk;145;51;196;157;120;176;296;236,8;1078;24;26;16;1;0,5;2,8;5,0;8465;6483;186;184;86;6,1;82,9;670;649;5851
Gentbrugge;146;0;146;225;132;0;132;152;0;0;75;59;4;0,5;8,8;5,1;15719;5028;265;257;235;8,0;76,1;723;549;6874
Gent-Dampoort;31;471;502;402;1871;230;2101;2226;1600;22;180;130;10;0,7;8,6;5,1;25610;9776;275;267;236;7,5;84,8;1184;805;8596
Gent-Sint-Pieters;0;1509;1509;1346;6875;624;7499;9297;2099;46;454;335;23;0,7;9,2;7,4;16158;17217;292;282;256;7,8;81,6;1073;799;8466
Geraardsbergen;145;85;230;479;192;0;192;73;287;13;96;62;4;0,7;5,7;5,6;7671;2287;185;143;99;6,3;75,5;560;415;4238
Gontrode;37;0;37;27;144;0;144;36;12;1;44;32;2;0,5;7,9;1,9;1097;133;89;86;69;2,0;62,4;135;137;1303
Groenendaal;96;0;96;77;28;0;28;22,4;96;4;70;34;4;0,6;8,9;5,9;1145;467;102;108;86;7,9;76,3;178;247;3543
Groot-Bijgaarden;70;0;70;83;56;0;56;20;492;3;68;36;4;0,5;8,3;6,1;6048;4737;146;141;146;6,5;88,4;322;272;2777
Haacht;320;0;320;187;418;0;418;174;447;9;82;34;4;0,5;7,8;3,5;2573;854;106;89;59;5,1;62,2;236;173;1985
Haaltert;267;0;267;208;127;0;127;72;45;2;48;34;2;0,6;8,3;5,1;2853;600;161;130;132;4,5;69,1;229;189;2528
Halle;642;69;711;569;324;280;604;483,2;878;12;325;146;19;0,6;9,1;6,8;11608;4228;219;190;81;6,9;78,3;720;550;5645
Hambos;30;0;30;1;42;0;42;2;0;0;35;0;2;0,5;8,1;3,5;197;336;39;46;26;0,9;58,9;59;55;857
Hamont;82;0;82;66;126;0;126;100,8;74;2;17;16;1;0,5;0,0;1,0;4642;1047;143;103;14;7,0;68,3;438;302;3966
Hansbeke;28;0;28;35;164;0;164;59;4;1;47;36;2;0,6;8,2;6,3;1511;114;92;46;2;2,4;63,1;274;170;1580
Harelbeke;261;0;261;305;374;0;374;400;244;4;50;38;2;0,7;7,5;5,8;9803;2101;252;183;187;7,6;73,3;798;592;6084
Haren;32;0;32;NA;8;0;8;NA;298;1;92;28;6;0,6;9,4;6,1;4288;1150;160;132;131;5,5;NA;289;218;2054
Haren-Zuid;20;0;20;NA;0;0;0;NA;447;1;64;35;4;0,6;9,8;7,4;4835;1103;148;122;120;4,8;NA;276;220;1909
Hasselt;628;549;1177;942;1400;0;1400;797;2000;50;159;101;8;0,7;5,5;6,2;14039;16235;239;202;178;8,2;86,2;892;669;7297
Heide;209;0;209;192;462;0;462;412;7;3;102;37;6;0,7;5,5;5,6;3904;561;203;180;114;7,4;71,3;335;289;3507
Heist;72;0;72;30;96;0;96;67;27;1;40;33;2;0,5;4,6;4,4;9434;1556;187;125;136;4,6;75,0;805;688;6151
Heist-Op-Den-Berg;527;0;527;422;652;0;652;521,6;189;8;81;68;4;0,6;7,0;2,8;4963;1207;176;139;73;7,3;73,3;456;304;3643
Heizijde;47;0;47;115;122;0;122;107;0;0;65;32;4;0,6;7,0;5,3;3015;181;126;111;72;3,7;60,7;228;189;2069
Hemiksem;53;0;53;87;44;0;44;24;450;5;63;34;4;0,5;6,1;1,0;7830;1050;187;125;138;5,9;74,8;444;361;4424
Herent;250;0;250;200;124;0;124;99,2;305;5;96;74;6;0,7;9,2;7,1;5693;905;184;166;174;6,1;72,1;519;420;4893
Herentals;590;0;590;472;886;0;886;708,8;391;19;143;70;8;0,6;6,1;5,1;7446;5492;178;169;140;6,3;83,7;535;439;4601
Herne;80;0;80;117;75;0;75;50;0;0;49;28;2;0,5;7,9;4,9;1309;56;98;53;24;2,7;57,6;151;106;1251
Herzele;198;0;198;165;124;0;124;82;58;2;48;34;2;0,6;6,8;5,1;3876;592;155;94;38;4,1;61,5;265;201;2850
Heusden;86;0;86;69;88;0;88;70,4;133;4;34;30;2;0,4;2,5;0,1;5228;3249;186;166;49;6,2;68,6;401;297;3943
Hever;36;0;36;14;56;0;56;41;46;2;45;0;2;0,5;8,3;3,5;2708;413;117;96;116;5,5;66,8;262;219;2484
Heverlee;60;0;60;98;128;0;128;87;644;14;62;33;4;0,5;8,5;1,4;12792;6174;247;240;223;7,7;81,0;818;644;6625
Hillegem;NA;0;NA;24;27;0;27;19;0;0;38;0;2;0,6;6,5;5,1;2146;228;128;108;63;3,2;61,9;185;157;1874
Hoboken-Polder;76;0;76;24;72;0;72;61;232;5;63;34;4;0,5;6,8;1,0;13343;3913;240;224;221;7,5;78,8;485;413;6451
Hoeilaart;10;0;10;8;23;0;23;18,4;0;0;36;34;2;0,6;8,8;5,9;3324;536;117;89;53;7,7;64,7;328;265;2707
Hofstade;168;0;168;134;48;0;48;38,4;49;2;28;0;2;0,3;8,4;2,6;2876;402;130;103;118;6,5;75,7;226;197;2607
Holleken;8;0;8;6;0;0;0;0,8;0;0;38;63;2;0,6;9,0;5,9;2217;634;126;135;124;3,5;68,1;217;198;1944
Hove;164;0;164;131;378;0;378;302,4;0;0;68;64;4;0,7;8,2;6,0;9574;2320;258;224;172;8,1;81,5;505;374;5447
Huizingen;117;0;117;94;35;0;35;28;140;1;93;28;6;0,6;8,8;3,6;4297;3635;151;151;79;6,9;74,3;274;222;3001
Iddergem;0;25;25;18;14;0;14;14;119;3;51;31;2;0,6;8,5;4,7;6163;669;181;131;106;4,8;62,7;348;263;3637
Idegem;70;0;70;39;42;0;42;12;0;0;51;31;2;0,6;5,6;4,7;1684;121;96;56;43;3,5;55,9;143;114;1647
Ieper;589;0;589;307;262;0;262;308;345;13;45;35;2;0,7;2,0;4,9;7476;5858;195;169;150;7,7;82,0;883;639;5588
Ingelmunster;104;0;104;64;180;0;180;149;96;3;71;46;4;0,6;6,3;5,7;4506;1322;174;138;115;6,4;78,6;418;299;4132
Izegem;528;0;528;273;795;0;795;469;80;3;79;46;4;0,6;5,8;5,7;7443;3901;188;152;120;8,0;83,4;490;348;4522
Jette;185;0;185;NA;130;0;130;NA;1389;3;173;102;10;0,6;9,2;6,6;31619;11075;264;241;227;8,9;NA;837;648;4241
Kalmthout;210;0;210;190;310;0;310;298;38;3;102;37;6;0,7;5,0;5,6;3840;1139;173;154;67;6,3;72,0;511;344;3406
Kapellen;158;0;158;175;452;0;452;440;274;6;102;37;6;0,6;6,0;5,6;9801;3166;217;197;110;9,0;79,5;488;352;4735
Kapelle-Op-Den-Bos;119;0;119;95;168;0;168;134,4;211;5;42;32;2;0,6;8,3;3,6;4400;1241;145;89;23;5,3;67,7;288;209;3282
Kessel;72;0;72;92;168;0;168;86;24;3;48;34;2;0,5;7,3;5,1;3294;349;158;130;87;5,7;66,7;253;219;2952
Kiewit;82;0;82;66;94;0;94;75,2;293;13;49;33;2;0,5;4,5;5,0;3173;2605;114;111;112;6,1;75,3;288;240;2728
