stop_id;station;typeNP;typePP;N_CA_Park_f;N_CA_Park_p;N_CA_Park_Tot;N_CA_Park_occ;N_AT_Park_occ;N_AT_Park_f;N_AT_Park_p;N_AT_Park_Tot;N_BTM_freq;N_BTM_rout;N_TR_freq_tue;N_TR_freq_sat;N_TR_freq_off;N_TR_amp;N_TR_ttcentr;N_TR_trcentr;P_DE_res;P_DE_job;P_DE_bas;P_DE_reg;P_DE_met;P_DI_shan;P_DI_IJI;P_DG_IC;P_DG_perm;P_DG_netw;PP_MOT_sec;PP_MOT_tert;PP_MOT_work;PP_MOT_other;PP_RID_orig;PP_RID_rid;PP_RID_dest;PP_EFF_walk;PP_EFF_bike;PP_EFF_far
8832433;Geel;2;4;285;43;328;262,4;523,2;654;0;654;383;16;72;36;4;0,642224151;4,977779799;4,659574468;8447;3777,441996;216,5347029;196,0377163;167,1029115;6,022903727;72,1964;532;382;5098;0,15311305;0,244811695;0,055079484;0,074861969;0,472133802;0,267198666;0,527866198;0,105113636;0,375710227;0,519176136
8831765;Genk;2;3;145;51;196;156,8;236,8;120;176;296;1078;24;26;16;1;0,546983507;2,840891924;4,96808511;8465;6482,730114;186,0050726;184,1992385;85,73608091;6,115100932;82,872;670;649;5851;0,024595499;0,050953815;0,064489409;0,201369451;0,658591826;0,165159518;0,341408174;0,042433947;0,122898319;0,834667734
8893179;Gentbrugge;3;2;146;0;146;225;152;132;0;132;0;0;75;59;4;0,51062934;8,840656934;5,148936168;15719;5027,854038;265,4791868;257,2433572;234,9059778;7,954192547;76,075;723;549;6874;;;;;0,800952165;0,044642127;0,199047835;;;
8893120;Gent-Dampoort;2;1;31;471;502;401,6;2226;1871;230;2101;1600;22;180;130;10;0,680625;8,63659963;5,148936168;25610;9776,0822;274,725362;267,4872045;235,9704829;7,488354037;84,7821;1184;805;8596;;;;;0,519338433;0,842967639;0,480661567;;;
8892007;Gent-Sint-Pieters;5;4;0;1509;1509;1346;9297;6875;624;7499;2099;46;454;335;23;0,748705633;9,191448949;7,382978721;16158;17217,17904;291,7861971;282,1301613;256,1252348;7,847437888;81,6412;1073;799;8466;;;;;0,45609834;9,204454401;0,54390166;;;
8895505;Geraardsbergen;2;1;145;85;230;479;73;192;0;192;287;13;96;62;4;0,65902826;5,746940736;5,606382979;7671;2287,077441;185,3208534;143,4585456;98,50654998;6,323757764;75,4597;560;415;4238;0,126679361;0,021831679;0,035895708;0,040514116;0,758422045;0,463100747;0,241577955;0,150986842;0,335526316;0,513486842
8893047;Gontrode;1;2;37;0;37;27;36;144;0;144;12;1;44;32;2;0,540837674;7,867311991;1,90425532;1097;133,2624865;88,65419933;86,19217875;69,15820696;2,025427019;62,3845;135;137;1303;0;0;0,100042608;0,077537356;0,822420037;0,028453224;0,177579963;0,258215962;0,549295775;0,192488263
8811445;Groenendaal;1;1;96;0;96;76,8;22,4;28;0;28;96;4;70;34;4;0,579290123;8,870280486;5,872340426;1145;467,4306764;101,781557;107,6827779;85,86858492;7,918284161;76,3098;178;247;3543;0,02690316;0;0,14300233;0,09656515;0,73352936;0,095498177;0,26647064;0,036363636;0,309090909;0,654545455
8812229;Groot-Bijgaarden;1;1;70;0;70;83;20;56;0;56;492;3;68;36;4;0,539816744;8,277464136;6,106382978;6048;4737,335366;146,0015673;141,234377;146,4342199;6,481948758;88,4466;322;272;2777;0,135362638;0;0,333907048;0,058302327;0,472427987;0,064592089;0,527572013;0,130653266;0,542713568;0,326633166
8822517;Haacht;1;1;320;0;320;187;174;418;0;418;447;9;82;34;4;0,539816744;7,79652396;3,531914893;2573;853,9087072;105,9276727;88,82474005;59,48346591;5,082492236;62,2273;236;173;1985;0,025996874;0;0,028501985;0,060699723;0,884801418;0,1071084;0,115198582;0,075782537;0,36985173;0,554365733
